Code,Name,Group,Image,Unit,,
b0003,سلة زهرة صغير,حافظات - صناديق - سلات,157.jpg,,,
b0003,مشن خضار رقم 30,حافظات - صناديق - سلات,158.jpg,,,
b0003,مشن خضار رقم 25,حافظات - صناديق - سلات,159.jpg,,,
b0003,مشن أرز مع اليد,حافظات - صناديق - سلات,160.jpg,,,
b0003,مشن أرز,حافظات - صناديق - سلات,161.jpg,,,
b0003,مشن حوض,حافظات - صناديق - سلات,162.jpg,,,
b0003,مصفاة شفاف,حافظات - صناديق - سلات,163.jpg,,,
b0003,منخل دقيق,حافظات - صناديق - سلات,164.jpg,,,
b0007,صحن بيضاوي,صحون,165.jpg,,,
b0007,صحن 3788,صحون,166.jpg,,,
b0007,صحن 2888,صحون,167.jpg,,,
b0007,صحن 2488,صحون,168.jpg,,,
b0007,صحن مدور مع المقابض,صحون,169.jpg,,,
b0007,صحن 4 وردات,صحون,170.jpg,,,
b0007,صحن حلويات,صحون,171.jpg,,,
b0007,صحن قطر 20,صحون,172.jpg,,,
b0007,صحن تقديم 3030,صحون,173.jpg,,,
b0007,صحن تقديم 2020,صحون,174.jpg,,,
b0007,صحن تقديم بيضاوي 4040,صحون,175.jpg,,,
b0007,صحن تقديم مستطيل 5050,صحون,176.jpg,,,
b0007,صحن مستطيل كبير,صحون,177.jpg,,,
b0007,صحن مستطيل 35*22,صحون,178.jpg,,,
b0007,صحن دائري كبير,صحون,179.jpg,,,
b0007,صحن دائري وسط,صحون,180.jpg,,,
b0007,صحن دائري صغير,صحون,181.jpg,,,
b0007,صحن خيزران مربع كبير,صحون,182.jpg,,,
b0007,صحن خيزران مربع وسط,صحون,183.jpg,,,
b0007,صحن خيزران مربع صغير,صحون,184.jpg,,,
b0007,صحن الكيك 1060,صحون,185.jpg,,,
b0007,صحن الكيك 1050,صحون,186.jpg,,,
b0007,صحن الكيك 1040,صحون,187.jpg,,,
b0008,جاك حافظ 1500 مل,جاكات - حافظات- اقلاص,188.jpg,,,
b0008,جاك 4 لتر / شفاف,جاكات - حافظات- اقلاص,189.jpg,,,
b0008,جاك 4 لتر / ملون,جاكات - حافظات- اقلاص,190.jpg,,,
b0008,جاك 2.5 لتر  / شفاف,جاكات - حافظات- اقلاص,191.jpg,,,
b0008,جاك 2.5 لتر  / ملون,جاكات - حافظات- اقلاص,192.jpg,,,
b0008,جاك 1 لتر /  شفاف,جاكات - حافظات- اقلاص,193.jpg,,,
b0008,جاك 1 لتر /  ملون,جاكات - حافظات- اقلاص,194.jpg,,,
b0008,جاك 1.5 لتر  / شفاف,جاكات - حافظات- اقلاص,195.jpg,,,
b0008,جاك 1.5 لتر  / ملون,جاكات - حافظات- اقلاص,196.jpg,,,
b0008,جاك جامبو / شفاف,جاكات - حافظات- اقلاص,197.jpg,,,
b0008,جاك جامبو / ملون,جاكات - حافظات- اقلاص,198.jpg,,,
b0008,جاك الأمل  / شفاف,جاكات - حافظات- اقلاص,199.jpg,,,
b0008,جاك الأمل  / ملون,جاكات - حافظات- اقلاص,200.jpg,,,
b0008,جاك البركة  / شفاف,جاكات - حافظات- اقلاص,201.jpg,,,
b0008,جاك البركة  / ملون,جاكات - حافظات- اقلاص,202.jpg,,,
b0008,جاك ألفا / شفاف,جاكات - حافظات- اقلاص,203.jpg,,,
b0008,جاك ألفا / ملون,جاكات - حافظات- اقلاص,204.jpg,,,
b0008,طقم جاك 4 لتر مع 3 أقالص,جاكات - حافظات- اقلاص,205.jpg,,,
b0008,طقم جاك 2.5 لتر مع 3 أقالص,جاكات - حافظات- اقلاص,206.jpg,,,
b0008,طقم جاك الأمل مع 3 أقلاص,جاكات - حافظات- اقلاص,207.jpg,,,
b0012,عصارة برتقال يدوية,منتجات خدمية,208.jpg,,,
b0008,أقلاص مع اليد,جاكات - حافظات- اقلاص,209.jpg,,,
b0008,أقلاص 400 مل,جاكات - حافظات- اقلاص,210.jpg,,,
b0008,أقلاص قلب,جاكات - حافظات- اقلاص,211.jpg,,,
b0008,أقلاص الأمير,جاكات - حافظات- اقلاص,212.jpg,,,
b0008,أقلاص القهوة,جاكات - حافظات- اقلاص,213.jpg,,,
b0008,أقلاص شراب 350 مل,جاكات - حافظات- اقلاص,214.jpg,,,
b0008,أقلاص النخلة,جاكات - حافظات- اقلاص,215.jpg,,,
b0008,أقلاص كريستال / ملون,جاكات - حافظات- اقلاص,216.jpg,,,
b0008,أقلاص كريستال / شفاف,جاكات - حافظات- اقلاص,217.jpg,,,
b0008,أقلاص قلب كرستال,جاكات - حافظات- اقلاص,218.jpg,,,
b0008,أقلاص قهوة كرستال,جاكات - حافظات- اقلاص,219.jpg,,,
b0002,رف الصحون - رباعي كبير 2025,رفوف,,,,
b0002,رف الصحون - ثلاثي كبير 2025,رفوف,,,,
b0002,رف الصحون - ثنائي كبير 2025,رفوف,,,,
b0003,صندوق حفظ مكرسات,حافظات - صناديق - سلات,220.jpg,,,
b0003,حافظة مكرسات 10 لتر,حافظات - صناديق - سلات,221.jpg,,,
b0003,حافظة مكرسات 6 لتر,حافظات - صناديق - سلات,222.jpg,,,
b0003,علبة 1009 / 9750 مل,حافظات - صناديق - سلات,223.jpg,,,
b0003,علبة 1008 / 6150 مل,حافظات - صناديق - سلات,224.jpg,,,
b0003,علبة 1007 / 4050 مل,حافظات - صناديق - سلات,225.jpg,,,
b0003,علبة 1006 / 2950 مل,حافظات - صناديق - سلات,226.jpg,,,
b0003,علبة 1005 / 1850 مل,حافظات - صناديق - سلات,227.jpg,,,
b0003,علبة 1004 / 1300 مل,حافظات - صناديق - سلات,228.jpg,,,
b0003,علبة 1003 / 950 مل,حافظات - صناديق - سلات,229.jpg,,,
b0003,علبة 1002 / 500 مل,حافظات - صناديق - سلات,230.jpg,,,
b0003,علبة 1001 / 350 مل,حافظات - صناديق - سلات,231.jpg,,,
b0003,علبة كاتشاب 1000 مل,حافظات - صناديق - سلات,232.jpg,,,
b0003,علبة كاتشاب 500 مل,حافظات - صناديق - سلات,233.jpg,,,
b0003,علبة كاتشاب 400 مل,حافظات - صناديق - سلات,234.jpg,,,
b0003,علبة حلويات مربع,حافظات - صناديق - سلات,235.jpg,,,
b0003,علبة حلويات,حافظات - صناديق - سلات,236.jpg,,,
b0003,علبة 215 مل,حافظات - صناديق - سلات,237.jpg,,,
b0003,علبة 175 مل,حافظات - صناديق - سلات,238.jpg,,,
b0009,مغارف البرنس 1 لتر,مغارف  - رفوف -زوايا,239.jpg,,,
b0009,مغارف ثماني كبير 800 مل,مغارف  - رفوف -زوايا,240.jpg,,,
b0009,مغارف ثماني صغير,مغارف  - رفوف -زوايا,241.jpg,,,
b0009,مغارف عادي 900 مل,مغارف  - رفوف -زوايا,242.jpg,,,
b0009,مغارف قلب 750 مل,مغارف  - رفوف -زوايا,243.jpg,,,
b0009,كتلي ماء باليتيك 1500 مل,مغارف  - رفوف -زوايا,244.jpg,,,
b0009,ابريق ماء 3.2 لتر,مغارف  - رفوف -زوايا,245.jpg,,,
b0009,ابريق ماء 2.5 لتر,مغارف  - رفوف -زوايا,246.jpg,,,
b0009,ابريق 1750 مل,مغارف  - رفوف -زوايا,247.jpg,,,
b0003,مغارف بهارات,حافظات - صناديق - سلات,248.jpg,,,
b0013,قطاعة خضار,ادوات مطبخية,249.jpg,,,
b0012,مدق هون,منتجات خدمية,250.jpg,,,
b0012,قاعدة اسطوانة غاز بالستيكية,منتجات خدمية,251.jpg,,,
b0003,علبة 5 لتر,حافظات - صناديق - سلات,252.jpg,,,
b0003,علبة 4 لتر,حافظات - صناديق - سلات,253.jpg,,,
b0003,علبة 3 لتر,حافظات - صناديق - سلات,254.jpg,,,
b0003,علبة 2 لتر,حافظات - صناديق - سلات,255.jpg,,,255
b0003,علبة 1400 مل اسطواني,حافظات - صناديق - سلات,256.jpg,,,256
b0003,علبة 1000 مل اسطواني,حافظات - صناديق - سلات,257.jpg,,,257
b0003,علبة 1400 مل مربع,حافظات - صناديق - سلات,258.jpg,,,258
b0003,علبة 1000 مل مربع,حافظات - صناديق - سلات,259.jpg,,,259
b0003,علبة 750 مل,حافظات - صناديق - سلات,260.jpg,,,260
b0003,علبة 500 مل,حافظات - صناديق - سلات,261.jpg,,,261
b0003,علبة 350 مل,حافظات - صناديق - سلات,262.jpg,,,262
b0003,علبة 180 مل,حافظات - صناديق - سلات,263.jpg,,,263
b0003,علبة 50 مل,حافظات - صناديق - سلات,264.jpg,,,264
b0003,طقم بهارات -2024 3 دور,حافظات - صناديق - سلات,265.jpg,,,265
b0003,طقم علب بهارات 4 قطع مع الملعقة,حافظات - صناديق - سلات,266.jpg,,,266
b0003,طقم علب بهارات 3 قطع مع الملعقة,حافظات - صناديق - سلات,267.jpg,,,267
b0003,صندوق البهارات,حافظات - صناديق - سلات,268.jpg,,,268
b0003,رف بهارات 6 قطع,حافظات - صناديق - سلات,269.jpg,,,269
b0003,رف بهارات 9 علب / ملون,حافظات - صناديق - سلات,270.jpg,,,270
b0003,رف بهارات 9 قطع  / شفاف,حافظات - صناديق - سلات,271.jpg,,,271
b0003,رف بهارات 7 علب / ملون,حافظات - صناديق - سلات,272.jpg,,,272
b0003,رف بهارات 7 علب / شفاف,حافظات - صناديق - سلات,273.jpg,,,273
b0014,فرادة كبير ملون - قطر 40 سم,فرادات عجين,274.jpg,,,274
b0014,فرادة صغير ملون - قطر 34 سم,فرادات عجين,275.jpg,,,275
b0014,فرادة فضي كبير - قطر 40 سم,فرادات عجين,276.jpg,,,276
b0014,فرادة فضي صغير - قطر 34 سم,فرادات عجين,277.jpg,,,277
b0003,صندوق مكياج,حافظات - صناديق - سلات,278.jpg,,,278
b0011,علبة مناديل,ادوات نظافة ,279.jpg,,,279
b0010,مراية مربع 27 * 26,مرايات,280.jpg,,,280
b0010,مراية مربع 33 * 26.5,مرايات,281.jpg,,,281
b0010,مراية قلب 33 * 26.5,مرايات,282.jpg,,,282
b0010,مراية قلب 22.5 * 24,مرايات,283.jpg,,,283
b0010,مراية مربع 14.5 * 15,مرايات,284.jpg,,,284
b0003,سلة ملاعق,حافظات - صناديق - سلات,285.jpg,,,285
b0003,سلة شبك علاقي,حافظات - صناديق - سلات,286.jpg,,,286
b0003,سلة ورد,حافظات - صناديق - سلات,287.jpg,,,287
b0003,سلة فراولة,حافظات - صناديق - سلات,288.jpg,,,288
b0003,سلة حائط متعددة الاغراض,حافظات - صناديق - سلات,289.jpg,,,289
b0003,سلة تسوق سوبر,حافظات - صناديق - سلات,290.jpg,,,290
b0003,سلة تسوق,حافظات - صناديق - سلات,291.jpg,,,291
b0011,سلة مهملات 10 لتر,ادوات نظافة ,292.jpg,,,292
b0011,سلة مهملات 6 لتر,ادوات نظافة ,293.jpg,,,293
b0011,سلة قمامة مع الطوق,ادوات نظافة ,294.jpg,,,294
b0011,سلة قمامة مع الطوق ثماني,ادوات نظافة ,295.jpg,,,295
b0011,سلة مهملات مروحة 10 لتر,ادوات نظافة ,296.jpg,,,296
